lats,lons,codes,pgas,times
38.72096,39.86293,2304,0.07903031801106408,0.5
38.09616,37.88732,4408,1.8476486206054688,21.82
38.02395,36.48187,4612,1.2412622570991516,19.22
37.7472,37.28426,4611,0.32197674736380577,44.56
37.79667,37.92957,213,0.34684445708990097,28.02
38.47812,36.50359,3802,0.18889959901571274,35.22
37.856602,36.115347,131,0.5278803408145905,34.42
37.855892,36.114868,132,0.4512786865234375,34.08
38.259195,36.210863,129,0.5127759650349617,32.56
38.34388,37.97378,4406,0.9325630962848663,30.1
37.48513,37.29775,4614,0.399329187348485,50.94
38.72268,36.377902,3804,0.20761508494615555,45.36
38.56063,37.49076,4409,0.19117966294288635,34.58
37.38676,37.13803,4615,0.30691037827637047,55.68
37.5701,36.35737,4613,0.9030446410179138,31.92
37.7524,39.3291,6303,0.07280519494088367,57.0
38.7269,37.2475,5807,0.23035341873764992,39.38
37.58568,36.89845,4620,1.2105409194191452,36.44
37.816183,35.92044,127,0.2028149552643299,39.22
37.5361,36.91765,4624,1.0813241824507713,40.14
37.37547,36.83836,4616,0.536860097781755,49.7
37.745495,35.864025,133,0.31280104303732514,56.4
37.58551,36.8303,4617,1.1777180014178157,35.94
38.1057,35.357183,3805,0.1181669533252716,56.56
38.59685,38.18385,4412,0.519532710313797,39.660000000000004
38.406947,38.754133,4414,0.29460759833455086,45.36
37.74427,35.864475,134,0.31280104303732514,56.4
37.704858,35.723358,138,0.1746910624206066,55.24
38.8107,37.9396,4405,0.23978762328624725,55.160000000000004
37.62072,35.611148,142,0.1748457085341215,48.620000000000005
37.058,37.35,2703,0.20192148513160646,55.980000000000004
38.68963,35.49986,3801,0.1852978952229023,47.04
37.4339,35.82021,122,0.4906352609395981,57.28
37.19156,36.56195,8002,0.46545728109776974,48.04
37.96789,34.673,5102,0.0315072902594693,25.04
37.400943,35.445322,139,0.24556927382946014,57.14
37.25186,35.67104,130,0.3464917419478297,53.22
36.75691,36.485742,3144,0.1252567395567894,54.02
36.61618,36.20661,3116,0.0789528014138341,24.34
38.79913,38.72728,2309,0.48623085021972656,53.74
38.19588,38.87385,4404,0.16413326375186443,53.14
38.39485,35.479116,3803,0.144346911838511,51.6
38.313533,39.039342,4413,0.33516804687678814,58.78
36.82763,36.20485,3134,0.15714839100837708,59.980000000000004
38.86677,37.679,4410,0.1744247623719275,57.24
38.57266,38.824528,2310,0.5751805379986763,51.96
37.79177,38.61597,205,0.29367306269705296,44.96
37.4087,34.87911,124,0.050447043031454086,8.58
38.14594,39.48379,2107,0.06736782379448414,59.46
37.731023,35.45968,144,0.1253817230463028,45.74
37.56261,35.52924,140,0.15366452862508595,50.94
37.56256,35.52789,141,0.15366452862508595,50.94
36.69293,36.48852,3137,0.11987172183580697,24.14
36.848907,36.557138,3143,0.2555553801357746,57.78
37.00777,36.6266,2718,0.33507850021123886,58.28
36.490758,36.226952,3146,0.09133856510743499,11.44
37.83234,34.9909,5103,0.0599126098677516,59.5
36.7088,37.1123,7901,0.1077878288924694,55.34
37.621415,35.611477,143,0.1748457085341215,48.620000000000005
38.45063,39.3102,2308,0.05489513278007507,17.76
36.58383,36.41439,3139,0.08146095206029713,22.06
37.1659,34.60043,3303,0.03340193070471287,8.92
38.2644,39.759,2104,0.05121059948578477,9.0
37.08417,36.26936,8003,0.31622746028006077,52.88
35.52514,34.17501,99007,0.11964170262217522,4.7
37.01519,35.79577,125,0.21493001841008663,56.76
37.250287,35.062788,128,0.045042799320071936,53.64
36.3726,36.21973,3141,0.10696238023228943,27.44
36.49797,36.36612,3142,0.0861882755998522,2.06
36.77006,35.79005,120,0.06468499777838588,7.46
36.21423,36.15973,3123,0.09131227561738342,20.28
36.2387,36.1722,3124,0.09432014339836314,21.080000000000002
38.39231,39.67541,2302,0.05187161732465029,5.5
36.54634,36.16459,3115,0.0844264926854521,18.94
38.18488,34.48289,5104,0.03957711160182953,6.3
38.69583,39.93199,2307,0.06836277898401022,4.82
38.66045,34.73317,5001,0.038557942025363445,29.52
37.2342,39.7509,6302,0.07616914699610788,0.9
37.52506,34.04843,4206,0.03911145904567093,28.34
36.11593,36.24722,3136,0.10993687901645899,8.0
38.37088,34.02699,6802,0.027233152650296688,7.92
37.00879,37.80215,2704,0.12630955316126347,56.42
36.727695,38.947,6306,0.030094261455815285,2.48
37.00338,35.34376,123,0.061335442296694964,20.34
36.92142,34.89897,3305,0.05694073624908924,2.02
35.902362,36.064358,3147,0.0863334396854043,11.200000000000001
36.23808,36.13264,3125,0.08831506129354239,9.66
36.40886,35.8831,3135,0.09038581047207117,25.560000000000002
36.19117,36.1343,3129,0.09596164309186861,2.98
38.00272,34.36281,5105,0.026211142539978027,4.34
36.08155,35.94982,3140,0.10037529864348471,0.22
36.568,35.39,119,0.0647950335405767,35.68
